Name,SMILES,BSEP,HERG,BBB,PDK1,HIVPRO
50739211,CN(c1nc(Nc2cc(S(=O)(=O)C)c(C)cc2)ncc1)c3cc(nn(C)c4C)c4cc3,1,,,,
50774868,CN(c1nc(Nc2cc(S(=O)(=O)N)c(C)cc2)ncc1)c3cc(nn(C)c4C)c4cc3,1,,,,
50753609,CN(C1CCCCC1)Cc2c(N)c(Br)cc(Br)c2,1,,,,
51259435,CN(C(C=C)=O)CCOc1c(c2c(C)c(NC(c3c(F)cc(C4CC4)cc3)=O)cc(F)c2)ncnc1N,1,,,,
50774978,CN(c1ncccc1)CCOc2ccc(CC3C(=O)NC(=O)S3)cc2,1,,,,
50777242,CN1S(=O)(=O)c(cc(Cl)s2)c2C(O)=C1C(Nc3ncccc3)=O,1,,,,
50775218,CN1C(=O)N(c2ccc(C(C#N)(C)C)cc2)c(c(cc(c3cc(cccc4)c4nc3)cc5)c5nc6)c16,1,,,,
50738973,CN1CCN(Cc2ccc(C(Nc3cc(Nc4nc(c5cnccc5)ccn4)c(C)cc3)=O)cc2)CC1,1,,,,
50739636,CNC(c1nccc(Oc2ccc(NC(Nc3cc(C(F)(F)F)c(Cl)cc3)=O)cc2)c1)=O,1,,,,
50775625,CO[C@H]1[C@H](O)CC[C@@H](\C=C(\[C@@H]2[C@H](C)[C@@H](O)CC(=O)[C@H](CC=C)\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]3O[C@@]([C@H](C)C[C@@H]3OC)(O)C(=O)C(=O)N(CCCC4)[C@@H]4C(=O)O2)/C)C1,1,,,,
50774898,CO[C@H]1[C@H](OC(C(CO)(CO)C)=O)CC[C@@H](C[C@H]([C@H]2OC(=O)[C@H](CCCC3)N3C(=O)C(=O)[C@@](O)([C@H](C)CC4)O[C@@H]4C[C@H](OC)\C(\C)=C\C=C\C=C\[C@@H](C)C[C@@H](C)C(=O)[C@H](OC)[C@H](O)\C(\C)=C\[C@@H](C)C(=O)C2)C)C1,1,,,,
50774881,CO[C@H]1[C@H](OCCO)CC[C@@H](C[C@H]([C@H]2OC(=O)[C@H](CCCC3)N3C(=O)C(=O)[C@@](O)([C@H](C)CC4)O[C@@H]4C[C@H](OC)\C(\C)=C\C=C\C=C\[C@@H](C)C[C@@H](C)C(=O)[C@H](OC)[C@H](O)\C(\C)=C\[C@@H](C)C(=O)C2)C)C1,1,,,,
50774909,CO[C@H]1[C@@H](NC(c2c(OC)cc(N)c(Cl)c2)=O)CCN(CCCOc3ccc(F)cc3)C1,1,,,,
50775605,CO[C@@H]1[C@@H](C(OC)=O)[C@@H](C[C@H](c2c(c(ccc(OC)c3)c3[nH]2)CC4)N4C5)[C@@H]5C[C@H]1OC(c6cc(OC)c(OC)c(OC)c6)=O,1,,,,
50375409,CO[C@H]([C@@H](C)[C@@H](OC(=O)C)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)\C=C\C=C(\C)/C(=O)Nc(c(O)c1c2c(c(c(C)c1O)O3)C(=O)[C@]34C)c(\C=N\N5CCN(C)CC5)c2O)\C=C\O4,1,,,,
50774811,CO[C@H]([C@@H](C)[C@@H](OC(=O)C)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)\C=C\C=C(\C)/C(=O)Nc(c(O)c1c2c(c(c(C)c1O)O3)C(=O)[C@]34C)c(\C=N\N5CCN(C6CCCC6)CC5)c2O)\C=C\O4,1,,,,
50375454,CO[C@H]([C@@H](C)[C@@H](OC(=O)C)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)\C=C\C=C(\C)/C(=O)Nc(c(O)c1c2c(c(c(C)c1O)O3)C(=O)[C@]34C)cc2O)\C=C\O4,1,,,,
50739205,COC[C@@H]1[C@@]2(C)c(c(C(=O)C3=C2[C@H](OC(=O)C)C[C@](C)(C(=O)CC4)[C@H]34)oc5)c5C(=O)O1,1,,,,
50753352,COc1c(OC(=O)C)c(ccc(Cl)c2)c2c(OC(=O)C)c1OC,1,,,,
50501849,COc1c(n(C)nn2)c2cc([C@H](c3cc(CN4S(=O)(=O)c(cccc5)c5O[C@H](C)C4)c(C)cc3)CC(=O)O)c1,1,,,,
50777115,COc1c(Cc2c(cc(NC(OC3CCCC3)=O)cc4)c4n(C)c2)ccc(C(NS(c5c(C)cccc5)(=O)=O)=O)c1,1,,,,
51318133,COc1c(c2cc(Cl)c(Oc3c(F)ccc(F)c3)nc2)cc(F)c(C(NS(=O)(=O)C)=O)c1,1,,,,
50753264,COc1c(OCCCN2CCCCC2)cc(ncnc3Oc4c(F)c(cc(C)[nH]5)c5cc4)c3c1,1,,,,
50375403,COc1c(C)c(C)c(\C=C\C(=C\C=C\C(=C\C(=O)O)\C)\C)c(C)c1,1,,,,
51098607,COc1nccc(c2cc(F)c([C@H]3Oc(cc([C@H](C4CC4)[C@@H](C(=O)O)C)cc5)c5CC3)cc2)c1,1,,,,
51098641,COc1ncc(F)c(c2cnc(C3Oc(cc([C@H](C4CC4)[C@@H](C(=O)O)C)cc5)c5CC3)cc2)c1,1,,,,
50739210,COc1c(OCCCN2CCOCC2)cc(c(Nc3cc(Cl)c(F)cc3)ncn4)c4c1,1,,,,
50775220,COc1c(OC)cc([C@H](C(=O)c(ccc(O[C@@H](C(=C)C)C2)c23)c3O4)[C@H]4CO5)c5c1,1,,,,
50754338,COc1c(F)cc(c2n(c3ccc(S(=O)(=O)N)cc3)nc(C(F)F)c2)cc1,1,,,,
51098655,COc1cc(c2ccc(C3Oc(cc([C@H](C4CC4)[C@@H](C(=O)O)C)cc5)c5CC3)cc2)c(F)cc1,1,,,,
51098617,COc1cc(c2cnc(C3Oc(cc([C@H](C4CC4)[C@@H](C(=O)O)C)cc5)c5CC3)cc2)c(F)cc1,1,,,,
50754232,COc1ccc(Nc2nn(c3ccccc3)cc2)cc1,1,,,,
50774900,COc1cc2c(C(C)(C)C(=O)N(CCc3ccc(S(NC(NC4CCCCC4)=O)(=O)=O)cc3)C2=O)cc1,1,,,,
50739639,COc1c(Oc2c(OCCO)nc(c3ncccn3)nc2NS(c4ccc(C(C)(C)C)cc4)(=O)=O)cccc1,1,,,,
50754116,COc1c(NS(c2c(c3ccc(CC(C)C)cc3)nccc2)(=O)=O)ncc(C)n1,1,,,,
50739368,COCC(O[C@]1([C@@H](C(C)C)c(ccc(F)c2)c2CC1)CCN(CCCc3[nH]c(cccc4)c4n3)C)=O,1,,,,
50739768,COCCOC(C(C(c1cc([N+](=O)[O-])ccc1)C(C(OC(C)C)=O)=C(C)N2)=C2C)=O,1,,,,
50497642,COCCOCc1cc(c2nc(ccc(sc(C(=O)N[C@H](C)CN3)c34)c45)c5cc2)ccc1,1,,,,
50753204,CON(C(c1c(C(=O)N(C)C(=O)N2CC(C)C)c2sc1Cn3c(Cl)c(Cl)nc3C)=O)C,1,,,,
50774810,CS(CCNCc1oc(c2cc(c(Nc3cc(Cl)c(OCc4cc(F)ccc4)cc3)ncn5)c5cc2)cc1)(=O)=O,1,,,,
50774878,CS(N1CCN(Cc2sc(c(N3CCOCC3)nc(c4c(cn[nH]5)c5ccc4)n6)c6c2)CC1)(=O)=O,1,,,,
50739724,N[C@H](C(=O)O)Cc1cc(I)c(Oc2cc(I)c(O)cc2)c(I)c1,1,,,,
50774981,O=C(c1ccc(OCCCCc2ccccc2)cc1)Nc3c4c(C(=O)C=C(c5[nH]nnn5)O4)ccc3,1,,,,
50739686,O=S(c1ccccc1)CCC2C(=O)N(c3ccccc3)N(c4ccccc4)C2=O,1,,,,
50754471,OC(c1n(Cc2cc(Cl)c(Cl)cc2)c(ccc(O)c3F)c3c1)=O,1,,,,
50754036,OC(c1n(Cc2cc(C(F)(F)F)c(Cl)cc2)c(ccc(O)c3)c3c1)=O,1,,,,
50754044,OC(c1n(Cc2cc(Cl)c(Cl)cc2)c(ccs3)c3c1)=O,1,,,,
50753245,OC(c1n(Cc2cc(Cl)c(Cl)cc2)c(ncs3)c3c1)=O,1,,,,
50754051,OC[C@@H](CN1c(cccc2)c2CC(NC(c3[nH]c(ccc(Cl)c4)c4c3)=O)C1=O)O,1,,,,
50375253,OCC(COC(c1c(Nc2c(ccc(Cl)c3)c3ncc2)cccc1)=O)O,1,,,,
50753468,ONC(C1(CCOCC1)CS(c2ccc(Oc3ccc(Cl)cc3)cc2)(=O)=O)=O,1,,,,
50772677,CC(COc1c(C)cccc1C)N,0,1,1,,
